ticker,name,category,score,price,year_high,year_low,ma50,ma200,off_high_pct,above_low_pct,chg_5d,chg_1m,chg_3m,chg_6m,chg_1y,vol_ratio,as_of
PANW,"Palo Alto Networks, Inc.",A_VCP待突破,83.7,360.0,398.88,139.57,328.2544,223.16824,9.7,157.9,-3.78,0.5,47.4,141.8,108.6,0.59,2026-08-19
CRWD,"CrowdStrike Holdings, Inc.",A_VCP待突破,81.3,212.92,227.5,85.68,190.3189,137.53052,6.4,148.5,0.0,4.8,37.6,104.8,99.8,0.58,2026-08-19
ASML,ASML Holding N.V.,A_VCP待突破,75.5,1802.98,1999.96,716.2,1778.2166,1432.5487,9.8,151.7,0.0,3.2,22.5,22.8,141.2,0.78,2026-08-19
NET,"Cloudflare, Inc.",B_上升結構,70.8,301.36,332.22,158.83,263.782,218.12605,9.3,89.7,-0.04,8.5,49.4,57.4,48.9,0.44,2026-08-18
DELL,Dell Technologies Inc.,B_上升結構,69.7,468.65,514,110.22,423.2914,231.39215,8.8,325.2,0.01,18.2,96.9,301.3,239.3,0.59,2026-08-19
PWR,"Quanta Services, Inc.",C_基底修復中,69.7,722.31,788.75,363.01,672.8238,573.4634,8.4,99.0,5.33,11.0,-5.6,36.2,85.4,0.58,2026-08-18
SNOW,Snowflake Inc.,B_上升結構,67.8,321.75,341.95,118.3,271.7206,214.745,5.9,172.0,-1.1,19.9,97.0,83.7,63.0,0.52,2026-08-19
IOT,Samsara Inc.,B_上升結構,67.8,39.58,47.47,23.38,35.5822,33.5976,16.6,69.3,0.0,3.3,29.3,47.0,16.8,0.69,2026-08-18
HPE,Hewlett Packard Enterprise Company,B_上升結構,67.0,55.69,64.25,19.84,48.5916,31.1814,13.3,180.7,-0.02,21.5,68.8,158.5,157.5,0.64,2026-08-19
AMZN,"Amazon.com, Inc.",A_VCP待突破,65.7,260.1,287.2,196,248.317,237.86275,9.4,32.7,0.25,5.2,-1.8,26.9,12.3,0.64,2026-08-19
DDOG,"Datadog, Inc.",C_基底修復中,65.4,247.32,292.72,98.01,248.8832,172.72052,15.5,152.3,0.54,-4.4,18.3,102.5,91.1,0.65,2026-08-18
ETN,Eaton Corporation plc,A_VCP待突破,64.0,431.33,478,311.92,413.2858,378.0444,9.8,38.3,0.0,4.9,8.6,11.5,24.2,0.56,2026-08-18
INTC,Intel Corp.,D_趨勢弱,63.3,96.69,142.35,22.78,109.2356,70.45445,32.1,324.5,0.01,1.7,-10.6,112.7,308.6,0.94,2026-08-18
TSM,Taiwan Semiconductor (ADR),C_基底修復中,63.2,412.27,479.0,223.7,414.9,354.2,13.9,84.3,-0.51,3.4,5.7,24.8,101.2,0.51,2026-08-19
MDB,"MongoDB, Inc.",B_上升結構,63.1,434.0,473.1,206.92,350.4998,338.20074,8.3,109.7,-0.14,39.0,31.6,19.6,91.3,0.58,2026-08-19
NVDA,NVIDIA Corporation,B_上升結構,62.8,219.12,236.54,164.07,206.6466,195.03966,7.4,33.6,-0.28,8.1,-1.4,16.6,20.4,0.69,2026-08-19
AMD,"Advanced Micro Devices, Inc.",C_基底修復中,61.9,466.42,584.73,149.22,510.0562,325.57034,20.2,212.6,-3.71,-6.0,11.3,138.3,171.3,0.7,2026-08-19
GOOGL,Alphabet Inc.,C_基底修復中,59.5,344.2,408.61,196.6,353.3306,331.75806,15.8,75.1,0.0,-0.7,-13.3,13.5,69.1,0.62,2026-08-19
LRCX,Lam Research Corporation,C_基底修復中,57.6,327.92,438.5,94.11,337.621,250.4984,25.2,248.4,0.0,4.7,18.0,36.6,231.6,0.93,2026-08-19
JBL,Jabil Inc.,B_上升結構,56.2,344.67,428.93,189.6,344.0902,286.02365,19.6,81.8,1.79,14.3,1.8,31.8,58.8,0.68,2026-08-19
ARM,Arm Holdings plc American Depositary Shares,D_趨勢弱,56.0,249.34,452.7,100.02,308.8618,195.52713,44.9,149.3,-1.57,-6.8,16.2,97.5,78.0,0.66,2026-08-19
ALAB,"Astera Labs, Inc. Common Stock",D_趨勢弱,55.6,322.84,499.476,97.89,354.2797,216.5641,35.4,229.8,6.39,6.3,47.1,140.6,69.2,0.85,2026-08-19
GEV,GE Vernova Inc.,C_基底修復中,54.5,987.46,1195.94,530.16,1025.4562,855.1402,17.4,86.3,-3.0,-6.5,-5.9,25.3,63.7,0.54,2026-08-19
MU,"Micron Technology, Inc.",C_基底修復中,54.2,940.76,1255,113.46,961.0328,556.5491,25.0,729.2,0.0,10.8,38.0,123.5,661.4,0.76,2026-08-18
LITE,Lumentum Holdings Inc.,C_基底修復中,51.8,862.01,1085.68,111.2,814.157,639.4628,20.6,675.2,-1.29,17.9,-2.6,45.7,632.7,1.08,2026-08-19
ANET,"Arista Networks, Inc.",B_上升結構,51.5,187.18,214.89,114.52,174.6068,148.48245,12.9,63.4,-3.11,11.5,33.2,35.3,36.8,0.97,2026-08-19
AXON,"Axon Enterprise, Inc.",C_基底修復中,51.2,619.0,794.29,339.01,525.6298,509.75146,22.1,82.6,2.43,14.3,57.4,43.6,-17.7,0.38,2026-08-19
BE,Bloom Energy Corporation,D_趨勢弱,50.7,206.63,351.28,40.56,247.2448,184.5627,41.2,409.4,-3.4,-14.3,-27.0,54.2,397.4,0.92,2026-08-19
MRVL,"Marvell Technology, Inc.",D_趨勢弱,50.5,216.0,329.88,61.44,236.4584,142.17834,34.5,251.6,0.0,14.5,27.9,173.1,181.5,0.69,2026-08-19
TER,"Teradyne, Inc.",B_上升結構,50.4,404.29,487.91,106.3,384.1658,303.32455,17.1,280.3,0.0,25.4,25.9,28.4,266.2,1.04,2026-08-19
NBIS,Nebius Group N.V.,C_基底修復中,50,223.51,299.86,62.01,222.237,146.45572,25.5,260.4,-16.86,25.1,6.2,163.2,267.6,1.53,2026-08-19
AVGO,Broadcom Inc.,C_基底修復中,48.8,379.88,495,281.87,389.9354,369.2963,23.3,34.8,-0.03,2.4,-9.7,13.9,24.2,0.94,2026-08-19
