ticker,name,category,score,price,year_high,year_low,ma50,ma200,off_high_pct,above_low_pct,chg_5d,chg_1m,chg_3m,chg_6m,chg_1y,vol_ratio,as_of,sector,industry,exchange
UHAL,U-Haul Holding Company Common Stock,A_VCP待突破,76.2,71.41,75.27,42.83,69.23,56.17,5.1,66.7,-3.8,-0.7,46.7,42.1,23.3,0.68,2026-08-21,Consumer Discretionary,Rental/Leasing Companies,nyse
CORT,Corcept Therapeutics Incorporated Common,E_突破延伸中,76.2,122.25,122.25,32.39,97.31,65.04,0.0,277.4,6.8,26.5,116.9,208.5,70.4,0.69,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
TRST,TrustCo Bank Corp NY Common Stock,A_VCP待突破,76.1,56.83,57.78,33.19,55.4,47.37,1.6,71.2,-0.9,0.7,17.5,23.7,60.4,1.08,2026-08-21,Finance,Major Banks,nasdaq
VSAT,ViaSat Inc. Common Stock,B_上升結構,76.0,74.72,89.81,20.28,74.53,55.45,16.8,268.4,-9.8,0.6,7.5,61.7,172.8,0.65,2026-08-21,Consumer Discretionary,Telecommunications Equipment,nasdaq
HSBC,HSBC Holdings plc. Common Stock,A_VCP待突破,75.8,104.15,107.86,61.79,99.92,87.52,3.4,68.6,0.3,2.4,17.8,20.3,62.9,0.68,2026-08-21,Finance,Savings Institutions,nyse
MSGS,Madison Square Garden Sports Corp. Class,A_VCP待突破,75.7,406.16,414.12,195.78,391.84,318.15,1.9,107.5,-0.2,3.0,15.5,38.3,106.3,1.13,2026-08-21,Consumer Discretionary,Services-Misc. Amusement & Recreation,nyse
MAX,MediaAlpha Inc. Class A Common Stock,A_VCP待突破,75.6,12.94,14.27,7.33,12.64,11.04,9.3,76.5,-1.7,-1.2,60.5,76.5,27.6,0.58,2026-08-21,Consumer Discretionary,Business Services,nyse
DNTH,Dianthus Therapeutics Inc. Common Stock,A_VCP待突破,75.5,111.1,115.96,18.89,100.38,71.83,4.2,488.3,-4.2,6.0,28.9,125.8,430.1,0.65,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
TGTX,TG Therapeutics Inc. Common Stock,A_VCP待突破,75.4,54.27,59.06,26.39,52.85,37.73,8.1,105.6,11.3,-2.2,37.4,86.8,95.7,0.82,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
EBC,Eastern Bankshares Inc. Common Stock,A_VCP待突破,75.3,22.74,23.65,15.25,22.44,20.33,3.8,49.1,-3.7,0.5,18.5,5.3,43.3,0.51,2026-08-21,Finance,Savings Institutions,nasdaq
WSFS,WSFS Financial Corporation Common Stock,A_VCP待突破,75.2,79.88,82.29,52.58,78.66,67.23,2.9,51.9,-2.2,1.2,14.3,19.2,44.5,0.68,2026-08-21,Finance,Major Banks,nasdaq
ELVN,Enliven Therapeutics Inc. Common Stock,B_上升結構,75.2,59.82,61.11,15.54,52.82,35.69,2.1,284.9,1.7,13.3,44.7,128.9,202.9,0.49,2026-08-21,Health Care,Biotechnology: Pharmaceutical Preparations,nasdaq
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary ,A_VCP待突破,75.1,87.57,91.54,55.99,87.45,77.01,4.3,56.4,-4.3,1.1,13.6,14.9,54.0,0.67,2026-08-21,Finance,Major Banks,nyse
SLDE,Slide Insurance Holdings Inc. Common Sto,E_突破延伸中,75.1,22.74,22.74,13.48,20.12,18.36,0.0,68.7,3.7,15.4,21.0,32.4,56.4,0.62,2026-08-21,Finance,Property-Casualty Insurers,nasdaq
DELL,Dell Technologies Inc. Class C Common St,B_上升結構,75.1,442.08,514,110.22,423.29,231.39,14.0,301.1,-9.9,0.6,82.7,280.8,220.0,0.78,2026-08-21,Technology,Computer Manufacturing,nyse
CHRD,Chord Energy Corporation Common Stock,A_VCP待突破,75.0,147.85,148.81,88.93,129.64,117.47,0.6,66.3,7.7,6.5,-0.4,48.7,45.4,0.82,2026-08-21,Energy,Oil & Gas Production,nasdaq
CVE,Cenovus Energy Inc Common Stock,E_突破延伸中,75.0,32.93,32.93,14.5,27.96,23.7,0.0,127.1,6.2,10.8,6.8,52.6,120.3,0.75,2026-08-21,Energy,Oil & Gas Production,nyse
SENEA,Seneca Foods Corp. Class A Common Stock,E_突破延伸中,75.0,194.07,194.07,102.75,173.28,140.91,0.0,88.9,1.2,18.2,39.8,56.5,84.3,0.75,2026-08-21,Consumer Staples,Packaged Foods,nasdaq
OFG,OFG Bancorp Common Stock,A_VCP待突破,74.8,52.23,53.95,37.15,50.74,44.12,3.2,40.6,-3.2,-0.4,18.8,23.8,21.4,0.61,2026-08-21,Finance,Major Banks,nyse
TIGO,Millicom International Cellular S.A. Com,A_VCP待突破,74.8,93.68,104.31,40.82,93.36,73.81,10.2,129.5,-0.2,-2.7,18.2,41.5,108.5,0.75,2026-08-21,Telecommunications,Telecommunications Equipment,nasdaq
